2023.05.30 15:35:28 INFO  es[][o.e.n.Node] version[7.17.8], pid[27], build[default/tar/120eabe1c8a0cb2ae87cffc109a5b65d213e9df1/2022-12-02T17:33:09.727072865Z], OS[Linux/5.15.90.1-microsoft-standard-WSL2/amd64], JVM[Eclipse Adoptium/OpenJDK 64-Bit Server VM/17.0.7/17.0.7+7]
2023.05.30 15:35:29 INFO  es[][o.e.n.Node] JVM home [/opt/java/openjdk]
2023.05.30 15:35:29 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseG1GC, -Djava.io.tmpdir=/opt/sonarqube/temp, -XX:ErrorFile=/opt/sonarqube/logs/es_hs_err_pid%p.log, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djna.tmpdir=/opt/sonarqube/temp, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dio.netty.allocator.numDirectArenas=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=COMPAT, -Dcom.redhat.fips=false, -Xmx512m, -Xms512m, -XX:MaxDirectMemorySize=256m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch, -Des.path.conf=/opt/sonarqube/temp/conf/es, -Des.distribution.flavor=default, -Des.distribution.type=tar, -Des.bundled_jdk=false]
2023.05.30 15:35:29 INFO  es[][o.e.p.PluginsService] loaded module [analysis-common]
2023.05.30 15:35:29 INFO  es[][o.e.p.PluginsService] loaded module [lang-painless]
2023.05.30 15:35:29 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2023.05.30 15:35:29 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2023.05.30 15:35:29 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2023.05.30 15:35:29 INFO  es[][o.e.p.PluginsService] no plugins loaded
2023.05.30 15:35:29 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (drvfs)]], net usable_space [274.2gb], net total_space [465.1gb], types [9p]
2023.05.30 15:35:29 INFO  es[][o.e.e.NodeEnvironment] heap size [512mb], compressed ordinary object pointers [true]
2023.05.30 15:35:32 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [-lj9NGM-QtiZkza0N3P-2g], cluster name [sonarqube], roles [data_frozen, master, remote_cluster_client, data, data_content, data_hot, data_warm, data_cold, ingest]
2023.05.30 15:35:38 INFO  es[][o.e.t.NettyAllocator] creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=256kb, factors={es.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=1mb, heap_size=512mb}]
2023.05.30 15:35:38 INFO  es[][o.e.i.r.RecoverySettings] using rate limit [40mb] with [default=40mb, read=0b, write=0b, max=0b]
2023.05.30 15:35:38 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen] and seed hosts providers [settings]
2023.05.30 15:35:39 INFO  es[][o.e.g.DanglingIndicesState] gateway.auto_import_dangling_indices is disabled, dangling indices will not be automatically detected or imported and must be managed manually
2023.05.30 15:35:39 INFO  es[][o.e.n.Node] initialized
2023.05.30 15:35:39 INFO  es[][o.e.n.Node] starting ...
2023.05.30 15:35:39 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:46317}, bound_addresses {127.0.0.1:46317}
2023.05.30 15:35:40 WARN  es[][o.e.b.BootstrapChecks] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2023.05.30 15:35:40 INFO  es[][o.e.c.c.Coordinator] cluster UUID [xGLWHFVjSbimc3Jxm-eWyw]
2023.05.30 15:35:40 INFO  es[][o.e.c.s.MasterService] elected-as-master ([1] nodes joined)[{sonarqube}{-lj9NGM-QtiZkza0N3P-2g}{KPIdMGOkTPmOxVu8lUHFFA}{127.0.0.1}{127.0.0.1:46317}{cdfhimrsw} elect leader, _BECOME_MASTER_TASK_, _FINISH_ELECTION_], term: 29, version: 773, delta: master node changed {previous [], current [{sonarqube}{-lj9NGM-QtiZkza0N3P-2g}{KPIdMGOkTPmOxVu8lUHFFA}{127.0.0.1}{127.0.0.1:46317}{cdfhimrsw}]}
2023.05.30 15:35:41 INFO  es[][o.e.c.s.ClusterApplierService] master node changed {previous [], current [{sonarqube}{-lj9NGM-QtiZkza0N3P-2g}{KPIdMGOkTPmOxVu8lUHFFA}{127.0.0.1}{127.0.0.1:46317}{cdfhimrsw}]}, term: 29, version: 773, reason: Publication{term=29, version=773}
2023.05.30 15:35:41 INFO  es[][o.e.h.AbstractHttpServerTransport] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2023.05.30 15:35:41 INFO  es[][o.e.n.Node] started
2023.05.30 15:35:41 INFO  es[][o.e.g.GatewayService] recovered [7] indices into cluster_state
2023.05.30 15:36:01 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]]]).
2023.05.30 16:31:00 WARN  es[][o.e.t.ThreadPool] timer thread slept for [5.1s/5185ms] on absolute clock which is above the warn threshold of [5000ms]
